"name","birth_year","email","affiliations","bio"
"Shimon K. Modi",1968,"shimon_k._modi@mail.com","University of Illinois at Chicago"," Phasellus ipsum magna, bibendum non sapien sed, viverra vestibulum enim"
"Alex Mihailidis",1992,"alex_mihailidis@mail.com","Politecnico di Torino"," Suspendisse at elit est"
"Jennifer Boger",1974,"jennifer_boger@mail.com","MIT"," Cras non felis accumsan, molestie elit sagittis, tempor sem"
"Stephen Czarnuch",1965,"stephen_czarnuch@mail.com","Politecnico di Milano"," In hac habitasse platea dictumst"
"Tizneem Jiancaro",1980,"tizneem_jiancaro@mail.com","The University of Edinburgh"," Quisque aliquam porta porttitor"
"Jesse Hoey",1976,"jesse_hoey@mail.com","Politecnico di Milano"," Sed eget suscipit risus"
"Ken Sakamura",1987,"ken_sakamura@mail.com","Politecnico di Torino"," Proin ac malesuada nibh"
"Shao-Huai Lee",1978,"shao-huai_lee@mail.com","MIT"," Aliquam aliquam metus at purus volutpat cursus"
"Jui-Chen Huang",1954,"jui-chen_huang@mail.com","The University of Edinburgh"," Curabitur semper at arcu ac fermentum"
"Ana García Robles",1982,"ana_garcía_robles@mail.com","University of Illinois at Chicago"," Cras molestie augue vel lorem accumsan, vitae efficitur ex consequat"
"Javier García Guzmán",1969,"javier_garcía_guzmán@mail.com","University of Illinois at Chicago"," Nam velit odio, tempor at sapien sollicitudin, pharetra tempus urna"
"Lorena Bourg",1977,"lorena_bourg@mail.com","University of Illinois at Chicago"," Vestibulum malesuada faucibus tristique"
"J. Manuel Ojel",1954,"j._manuel_ojel@mail.com","The University of Edinburgh"," Nunc hendrerit a nisi nec molestie"
"R. Ignacio Madrid",1960,"r._ignacio_madrid@mail.com","ETH Zurich"," Etiam tempus, tellus sodales vestibulum cursus, urna sem pharetra justo, sed varius nisl odio nec lectus"
"Foteini Agrafioti",1979,"foteini_agrafioti@mail.com","MIT"," Aliquam erat volutpat"
"Francis Minhthang Bui",1997,"francis_minhthang_bui@mail.com","Politecnico di Torino"," Nulla tristique sapien non turpis semper, et porttitor felis posuere"
"Dimitrios Hatzinakos",1950,"dimitrios_hatzinakos@mail.com","Politecnico di Milano"," Vestibulum bibendum rhoncus pretium"
"David Prendergast 0001",1968,"david_prendergast_0001@mail.com","MIT"," Nunc congue molestie orci aliquam varius"
"Claire Somerville",1985,"claire_somerville@mail.com","The University of Edinburgh"," Nulla facilisi"
"Joseph P. Wherton",1981,"joseph_p._wherton@mail.com","The University of Edinburgh","  Curabitur arcu lacus, tincidunt sit amet nisi et, consectetur lobortis orci"
"Michael C. Balasch",1963,"michael_c._balasch@mail.com","ETH Zurich"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Martin Schultz",1980,"martin_schultz@mail.com","Politecnico di Milano"," Nam eu massa pharetra, tincidunt neque feugiat, gravida sapien"
"Christine Carius-Düssel",1971,"christine_carius-düssel@mail.com","Politecnico di Milano"," Curabitur commodo nisl leo, eget convallis massa rhoncus nec"
"Joachim Hänsel",1982,"joachim_hänsel@mail.com","MIT"," Pellentesque velit felis, consequat vel iaculis sed, auctor nec justo"
"Norbert Pieth",1987,"norbert_pieth@mail.com","Politecnico di Milano"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae;  Sed maximus at augue nec ultricies"
"Thilo Ernst",1977,"thilo_ernst@mail.com","University of Illinois at Chicago"," Morbi cursus non est a tincidunt"
"Jörn Kiselev",1995,"jörn_kiselev@mail.com","ETH Zurich"," Phasellus posuere sodales metus feugiat accumsan"
"Gerd Kock",1986,"gerd_kock@mail.com","ETH Zurich"," Proin tristique lectus et metus consectetur pretium"
"Ben Hennig",1997,"ben_hennig@mail.com","The University of Edinburgh"," Ut luctus sapien non interdum congue"
"Klaus F. Wagner",1953,"klaus_f._wagner@mail.com","University of Illinois at Chicago"," Ut tempor lacinia velit a convallis"
"Marten Haesner",1959,"marten_haesner@mail.com","University of Illinois at Chicago"," Aenean condimentum ligula sed placerat tristique"
"Elisabeth Steinhagen-Thiessen",1981,"elisabeth_steinhagen-thiessen@mail.com","Politecnico di Torino"," Pellentesque euismod tellus at odio tristique porttitor"
"Mehmet Gövercin",1985,"mehmet_gövercin@mail.com","Technical University of Munich","  Phasellus scelerisque in risus vitae euismod"
"Jan-Peter Jansen",1991,"jan-peter_jansen@mail.com","The University of Edinburgh"," Nulla volutpat felis sit amet turpis convallis, quis cursus odio iaculis"
"Markus Schröder",1996,"markus_schröder@mail.com","Politecnico di Milano"," Nullam quis mauris vel felis egestas fringilla pretium nec enim"
"Matthias Masur",1957,"matthias_masur@mail.com","The University of Edinburgh"," Maecenas a quam nibh"
"Tobias Leipold",1988,"tobias_leipold@mail.com","ETH Zurich"," Morbi dignissim, lorem sed hendrerit sagittis, augue arcu suscipit tortor, vitae porttitor enim justo efficitur quam"
"Irina Busch",1977,"irina_busch@mail.com","Politecnico di Milano"," Aliquam et erat justo"
"Stefan Zeidler",1996,"stefan_zeidler@mail.com","Technical University of Munich"," Proin in tristique ex"
"Sibylle Meyer",1997,"sibylle_meyer@mail.com","Politecnico di Torino"," Donec consectetur purus sollicitudin, semper risus ac, pharetra tellus"
"Uta Böhm",1958,"uta_böhm@mail.com","Politecnico di Milano"," Pellentesque egestas fringilla lectus ut vehicula"
"Christa Fricke",1999,"christa_fricke@mail.com","The University of Edinburgh"," Nulla tempor, lorem sit amet congue elementum, lectus lorem rutrum nibh, id dictum risus erat sed mi"
"Claudia Spindler",1985,"claudia_spindler@mail.com","Technical University of Munich"," Fusce aliquet mauris eros, ut aliquet diam luctus a"
"Harald Klaus",1965,"harald_klaus@mail.com","University of Illinois at Chicago"," Nulla facilisi"
"Fabienne Waidelich",1983,"fabienne_waidelich@mail.com","MIT"," Donec suscipit nec enim sit amet elementum"
"Jens-Uwe Bußer",1974,"jens-uwe_bußer@mail.com","University of Illinois at Chicago"," Ut non fermentum lacus"
"Wolfgang Klasen",1964,"wolfgang_klasen@mail.com","ETH Zurich"," Nullam dolor arcu, convallis sed felis porttitor, luctus faucibus quam"
"Katrin Müller",1986,"katrin_müller@mail.com","MIT"," Nam nec dolor at sapien mollis cursus"
"Anastasios Drosou",1950,"anastasios_drosou@mail.com","Technical University of Munich"," Quisque tincidunt, dolor rutrum sagittis vulputate, quam lorem blandit odio, et rhoncus nunc lorem quis dolor"
"Dimitrios Tzovaras",1972,"dimitrios_tzovaras@mail.com","Politecnico di Milano","  Fusce pretium congue risus, semper tempus mauris tristique at"
"Raluca Marin-Perianu",1996,"raluca_marin-perianu@mail.com","Politecnico di Torino"," Nam sit amet laoreet felis, vitae sodales urna"
"Juan Jimenez Garcia",1997,"juan_jimenez_garcia@mail.com","MIT","  Integer dapibus mauris quis eros vestibulum, ut malesuada risus laoreet"
"Stephan Bosch",1958,"stephan_bosch@mail.com","Politecnico di Milano"," Integer neque magna, finibus eu magna id, tincidunt feugiat leo"
"Mihai Marin-Perianu",1996,"mihai_marin-perianu@mail.com","Politecnico di Milano"," Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus"
"Paul J. M. Havinga",1979,"paul_j._m._havinga@mail.com","Politecnico di Torino"," Praesent a ullamcorper nunc, pellentesque rutrum tortor"
"Suzanne Martin",1989,"suzanne_martin@mail.com","The University of Edinburgh"," Nullam vel dignissim ex"
"Maurice D. Mulvenna",1955,"maurice_d._mulvenna@mail.com","Politecnico di Milano"," Vivamus id metus in nisl iaculis facilisis id nec ex"
"Diana Hodgins",1990,"diana_hodgins@mail.com","ETH Zurich"," Cras egestas fringilla turpis eget consectetur"
"Tom O'Kane",1962,"tom_o'kane@mail.com","MIT"," Morbi elementum augue quis orci tristique, ut pulvinar massa facilisis"
"John O'Donoghue",1996,"john_o'donoghue@mail.com","ETH Zurich"," Cras id cursus ligula"
"Joe Gallagher",1981,"joe_gallagher@mail.com","MIT"," Morbi eget odio consectetur, scelerisque mi nec, sodales lorem"
"Abdur Aftab",1952,"abdur_aftab@mail.com","Politecnico di Torino"," Morbi blandit massa quis ex hendrerit, venenatis bibendum justo porta"
"Aveline Casey",1971,"aveline_casey@mail.com","MIT"," Aliquam efficitur, nulla eget tempor elementum, urna lorem faucibus quam, quis condimentum ex nulla et leo"
"Garry Courtney",1987,"garry_courtney@mail.com","The University of Edinburgh"," Donec luctus eleifend purus, vel consequat metus facilisis nec"
"Annalisa Franco",1966,"annalisa_franco@mail.com","MIT"," Morbi tempor facilisis nunc vel feugiat"
"Dario Maio",1989,"dario_maio@mail.com","MIT"," Cras condimentum, neque non aliquam faucibus, nisi leo blandit lacus, nec malesuada nulla orci quis lectus"
"Davide Maltoni",1981,"davide_maltoni@mail.com","Politecnico di Torino"," Aenean vel rutrum sem"
"Wolfgang Deiters",1971,"wolfgang_deiters@mail.com","The University of Edinburgh"," Integer varius feugiat libero ut pellentesque"
"Oliver Koch",1983,"oliver_koch@mail.com","Technical University of Munich"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae;  Sed maximus at augue nec ultricies"
"Thomas Königsmann",1983,"thomas_königsmann@mail.com","University of Illinois at Chicago","  Nunc quis condimentum libero, id lacinia risus"
"Sven Meister",1973,"sven_meister@mail.com","ETH Zurich"," Sed eget lacus molestie, fringilla nulla eget, hendrerit ante"
"Diane J. Cook",1990,"diane_j._cook@mail.com","Technical University of Munich"," Quisque aliquet egestas velit feugiat dapibus"
"Lawrence B. Holder",1975,"lawrence_b._holder@mail.com","Politecnico di Milano"," In tristique iaculis porta"
"Lenka Lhotská",1955,"lenka_lhotská@mail.com","The University of Edinburgh"," Aliquam commodo non ante porta mattis"
"Jaromir Dolezal",1973,"jaromir_dolezal@mail.com","University of Illinois at Chicago","  Integer quis ipsum justo"
"Václav Chudácek",1968,"václav_chudácek@mail.com","Technical University of Munich"," Curabitur nec laoreet velit"
"Michal Huptych",1980,"michal_huptych@mail.com","University of Illinois at Chicago"," Etiam eu interdum erat"
"Miroslav Bursa",1978,"miroslav_bursa@mail.com","ETH Zurich"," Aliquam efficitur, nulla eget tempor elementum, urna lorem faucibus quam, quis condimentum ex nulla et leo"
"Jan Havlík",1975,"jan_havlík@mail.com","The University of Edinburgh"," Sed euismod non purus non mollis"
"Francesca I. Cavallaro",1980,"francesca_i._cavallaro@mail.com","University of Illinois at Chicago"," Duis rhoncus semper dictum"
"Fabrice O. Morin",1990,"fabrice_o._morin@mail.com","University of Illinois at Chicago","  Praesent vestibulum eros in purus tincidunt faucibus"
"Ainara Garzo",1975,"ainara_garzo@mail.com","Technical University of Munich"," Nulla facilisi"
"Anthony Remazeilles",1955,"anthony_remazeilles@mail.com","Politecnico di Milano"," Curabitur at elit quis ipsum efficitur rhoncus"
"Gabriel Gaminde",1981,"gabriel_gaminde@mail.com","ETH Zurich"," Etiam velit ipsum, tincidunt et massa eget, facilisis facilisis erat"
"Eric Wade",1988,"eric_wade@mail.com","The University of Edinburgh"," Curabitur dignissim euismod mollis"
"Avinash Rao Parnandi",1961,"avinash_rao_parnandi@mail.com","Politecnico di Milano"," Nunc vulputate feugiat ipsum, vel rhoncus elit lacinia consectetur"
"Paul J. McCullagh",1975,"paul_j._mccullagh@mail.com","MIT"," Praesent nibh enim, pulvinar id eros pretium, consequat efficitur orci"
"Babak A. Farshchian",1994,"babak_a._farshchian@mail.com","ETH Zurich"," Proin gravida orci mi, nec ullamcorper elit lobortis sit amet"
"Kristine Holbø",1958,"kristine_holbø@mail.com","University of Illinois at Chicago"," Phasellus nec interdum nisi"
"Marius Mikalsen",1979,"marius_mikalsen@mail.com","Politecnico di Torino"," Suspendisse non tortor et lacus suscipit pellentesque"
"Jarl Reitan",1973,"jarl_reitan@mail.com","Technical University of Munich"," Sed accumsan mi eu quam viverra pharetra"
"Martin Floeck",1967,"martin_floeck@mail.com","ETH Zurich"," Fusce sed tempus sapien"
"Lothar Litz",1971,"lothar_litz@mail.com","Politecnico di Milano"," Aliquam feugiat tincidunt elementum"
"Annette Spellerberg",1980,"annette_spellerberg@mail.com","Technical University of Munich"," Proin eleifend consequat ex"
"Mario Drobics",1989,"mario_drobics@mail.com","University of Illinois at Chicago"," Maecenas volutpat, lectus aliquam consequat blandit, nunc risus maximus mi, quis dictum sem metus eget mi"
"Angelika Dohr",1972,"angelika_dohr@mail.com","Technical University of Munich","  Sed eros felis, feugiat a ante a, pellentesque dapibus elit"
"Susanne Giesecke",1984,"susanne_giesecke@mail.com","MIT"," Curabitur commodo nisl leo, eget convallis massa rhoncus nec"
"Günter Schreier 0001",1985,"günter_schreier_0001@mail.com","MIT"," Nunc viverra varius urna ac pharetra"
"Katherine Wild",1976,"katherine_wild@mail.com","University of Illinois at Chicago"," Etiam ultrices aliquam lacus, in hendrerit massa pretium in"
"Linda Boise",1984,"linda_boise@mail.com","MIT"," Quisque iaculis vestibulum felis sit amet rutrum"
"Ingo Meyer",1982,"ingo_meyer@mail.com","Technical University of Munich"," Vestibulum sit amet ante aliquet, laoreet nibh sit amet, pellentesque mi"
"Lutz Kubitschke",1953,"lutz_kubitschke@mail.com","ETH Zurich"," Vivamus egestas rhoncus mauris, non semper ligula rutrum et"
"Tatsuo Nakajima",1983,"tatsuo_nakajima@mail.com","Politecnico di Torino"," Phasellus sit amet consectetur sapien, nec egestas odio"
"Fahim Kawsar",1960,"fahim_kawsar@mail.com","University of Illinois at Chicago"," Fusce laoreet quam magna, id lacinia neque venenatis sit amet"
"Teresa Zayas-Cabán",1984,"teresa_zayas-cabán@mail.com","University of Illinois at Chicago"," Morbi at elementum lorem"
"Jenna L. Marquard",1983,"jenna_l._marquard@mail.com","ETH Zurich"," Proin purus mi, faucibus egestas consequat ac, tempus sit amet velit"
"CheeFai Tan",1960,"cheefai_tan@mail.com","University of Illinois at Chicago"," Vivamus pharetra vitae libero quis sollicitudin"
"Wei Chen 0015",1969,"wei_chen_0015@mail.com","Politecnico di Milano"," Proin tincidunt non purus nec dapibus"
"Matthias Rauterberg",1987,"matthias_rauterberg@mail.com","Politecnico di Milano"," Cras placerat porta odio"
"Frerk Müller",1999,"frerk_müller@mail.com","Politecnico di Milano"," Curabitur eget purus accumsan, porta urna eu, vehicula lacus"
"Myriam Lipprandt",1997,"myriam_lipprandt@mail.com","The University of Edinburgh"," Nullam pretium leo est, eget aliquam nibh facilisis tincidunt"
"Marco Eichelberg",1983,"marco_eichelberg@mail.com","Politecnico di Torino"," Nullam ac consequat nibh"
"Axel Helmer",1980,"axel_helmer@mail.com","The University of Edinburgh"," In libero velit, porttitor a auctor quis, feugiat at orci"
"Clemens Busch",1974,"clemens_busch@mail.com","University of Illinois at Chicago"," Integer vitae pellentesque metus"
"Detlev Willemsen",1988,"detlev_willemsen@mail.com","Politecnico di Torino"," Vestibulum id libero at elit pharetra mattis posuere et massa"
"Andreas Hein",1974,"andreas_hein@mail.com","University of Illinois at Chicago"," Suspendisse nec convallis eros, sit amet facilisis ligula"
"Dana Pavel",1977,"dana_pavel@mail.com","Politecnico di Milano"," Etiam maximus, nulla id pharetra porta, urna felis rhoncus augue, sit amet posuere elit arcu sit amet nulla"
"Vic Callaghan",1992,"vic_callaghan@mail.com","Technical University of Munich"," Aliquam cursus, sapien et blandit sollicitudin, elit ante ornare nulla, nec feugiat ex felis quis leo"
"Anind K. Dey",1957,"anind_k._dey@mail.com","Politecnico di Torino"," Cras quis quam sed augue porta vestibulum at vel arcu"
"Tsai-Ya Lai",1959,"tsai-ya_lai@mail.com","Politecnico di Milano"," Pellentesque quis posuere quam"
"Jenn-Hwan Tarng",1985,"jenn-hwan_tarng@mail.com","University of Illinois at Chicago"," Ut non fermentum lacus"
"William D. Kearns",1959,"william_d._kearns@mail.com","University of Illinois at Chicago"," Aliquam ut lorem sollicitudin, consectetur mauris a, elementum libero"
"James L. Fozard",1956,"james_l._fozard@mail.com","Politecnico di Torino"," Pellentesque varius eros et felis euismod lacinia"
"Rami Puzis",1971,"rami_puzis@mail.com","MIT"," Aenean ultrices commodo fringilla"
"Meytal Tubi",1983,"meytal_tubi@mail.com","MIT"," Ut pretium lobortis posuere"
"Yuval Elovici",1999,"yuval_elovici@mail.com","Politecnico di Milano"," Aliquam erat volutpat"
"Yu-Ru Lin",1972,"yu-ru_lin@mail.com","Politecnico di Milano"," Etiam non mauris placerat, commodo nisl a, dapibus purus"
"Hari Sundaram",1993,"hari_sundaram@mail.com","University of Illinois at Chicago"," Sed faucibus diam dui, ut efficitur ligula consequat nec"
"Aisling Kelliher",1976,"aisling_kelliher@mail.com","The University of Edinburgh"," Nam posuere, purus nec mollis tristique, ipsum ante pretium velit, non sagittis orci sem a ligula"
"Anwitaman Datta",1993,"anwitaman_datta@mail.com","ETH Zurich"," Quisque pretium metus tellus, vitae lacinia magna placerat ac"
"Sonja Buchegger",1979,"sonja_buchegger@mail.com","Technical University of Munich"," Aenean tristique, turpis fringilla pellentesque pharetra, dui eros pretium ex, id cursus lacus metus a nisi"
"Le-Hung Vu",1959,"le-hung_vu@mail.com","The University of Edinburgh"," Mauris turpis est, lobortis quis leo et, interdum blandit orci"
"Thorsten Strufe",1981,"thorsten_strufe@mail.com","The University of Edinburgh"," Donec non risus ac lectus iaculis semper nec maximus risus"
"Krzysztof Rzadca",1959,"krzysztof_rzadca@mail.com","The University of Edinburgh"," Nullam a mollis eros"
"Eduardo B. Fernández",1976,"eduardo_b._fernández@mail.com","Technical University of Munich"," Fusce porttitor in dolor quis fringilla"
"Carolina Marin",1971,"carolina_marin@mail.com","Technical University of Munich"," Vivamus luctus cursus nibh, eu volutpat sapien sodales id"
"Maria M. Larrondo-Petrie",1986,"maria_m._larrondo-petrie@mail.com","The University of Edinburgh"," Nullam luctus diam quis neque aliquet tempor"
"Jose Simoes",1965,"jose_simoes@mail.com","Politecnico di Torino"," Vivamus turpis dolor, convallis ac pellentesque id, porttitor eget magna"
"Thomas Magedanz",1994,"thomas_magedanz@mail.com","The University of Edinburgh"," Maecenas a posuere felis"
"Masaki Aida",1991,"masaki_aida@mail.com","Politecnico di Torino"," Sed ornare, risus eu congue fermentum, libero enim lobortis tortor, in porta magna lorem vel nibh"
"Hideyuki Koto",1967,"hideyuki_koto@mail.com","MIT"," Quisque aliquet egestas velit feugiat dapibus"
"Lisa Singh",1972,"lisa_singh@mail.com","ETH Zurich"," Donec mollis, enim vitae lacinia tristique, diam nunc bibendum arcu, ultricies porta elit turpis at tellus"
"Elisa Jayne Bienenstock",1966,"elisa_jayne_bienenstock@mail.com","Politecnico di Torino"," Maecenas consequat eleifend nunc id facilisis"
"Janet Mann",1951,"janet_mann@mail.com","University of Illinois at Chicago"," Donec suscipit nec enim sit amet elementum"
"Muthucumaru Maheswaran",1954,"muthucumaru_maheswaran@mail.com","The University of Edinburgh"," Nam quis eros quis dolor maximus fermentum nec id turpis"
"Bader Ali",1963,"bader_ali@mail.com","Technical University of Munich"," Ut a aliquet dui, nec cursus enim"
"Hatice Ozguven",1984,"hatice_ozguven@mail.com","Politecnico di Torino"," Mauris semper nunc sed volutpat imperdiet"
"Julien Lord",1975,"julien_lord@mail.com","University of Illinois at Chicago"," Fusce et elit nulla"
"Janice Kwan-Wai Leung",1978,"janice_kwan-wai_leung@mail.com","Technical University of Munich","  Duis nec sem consectetur augue tristique aliquet in id sapien"
"Chun Hung Li",1970,"chun_hung_li@mail.com","ETH Zurich"," Proin commodo velit aliquam consequat pellentesque"
"Munmun De Choudhury",1985,"munmun_de_choudhury@mail.com","The University of Edinburgh"," Nam congue magna nisl, id pretium neque egestas quis"
"Ajita John",1975,"ajita_john@mail.com","University of Illinois at Chicago"," Maecenas pharetra rutrum libero eget imperdiet"
"Dorée Duncan Seligmann",1976,"dorée_duncan_seligmann@mail.com","ETH Zurich","  Curabitur lobortis iaculis congue"
"Mingxin Zhang",1959,"mingxin_zhang@mail.com","The University of Edinburgh"," Etiam arcu dui, maximus eget vehicula in, lobortis ut tortor"
"Jason J. Jung",1966,"jason_j._jung@mail.com","University of Illinois at Chicago"," Aenean eu arcu elit"
"Kwang Sun Choi",1991,"kwang_sun_choi@mail.com","Technical University of Munich"," Nulla a nulla pharetra, interdum ipsum vitae, pretium ex"
"Sung-Hyuk Park",1990,"sung-hyuk_park@mail.com","University of Illinois at Chicago"," Cras id cursus ligula"
"P. Santhi Thilagam",1952,"p._santhi_thilagam@mail.com","ETH Zurich"," Integer vitae lacus nec lectus lacinia vestibulum a placerat est"
"Ronald R. Yager",1951,"ronald_r._yager@mail.com","Politecnico di Torino"," Sed nec porta nisi"
"Ing-Xiang Chen",1965,"ing-xiang_chen@mail.com","Technical University of Munich"," Nullam porttitor lacus dictum enim tristique, ac commodo diam accumsan"
"Cheng-Zen Yang",1957,"cheng-zen_yang@mail.com","ETH Zurich"," Nunc turpis metus, cursus imperdiet felis vitae, congue pellentesque ligula"
"Cecilia Sik-Lányi",1971,"cecilia_sik-lányi@mail.com","Politecnico di Torino"," Duis vel elit pellentesque, ultrices urna nec, pulvinar felis"
"Leucio Antonio Cutillo",1960,"leucio_antonio_cutillo@mail.com","ETH Zurich"," Cras quis quam sed augue porta vestibulum at vel arcu"
"Mark Manulis",1988,"mark_manulis@mail.com","Politecnico di Milano"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Sergej Sizov",1973,"sergej_sizov@mail.com","Politecnico di Milano"," Aenean at lobortis ipsum"
"Steffen Staab",1958,"steffen_staab@mail.com","The University of Edinburgh"," Fusce non arcu feugiat, malesuada odio in, efficitur orci"
"Thomas Franz",1958,"thomas_franz@mail.com","Politecnico di Torino"," Etiam finibus, magna eget interdum tempus, ligula purus lacinia magna, et rhoncus neque ante sit amet magna"
"Touhid Bhuiyan",1972,"touhid_bhuiyan@mail.com","Politecnico di Torino"," Pellentesque euismod ultrices eleifend"
"Audun Jøsang",1958,"audun_jøsang@mail.com","University of Illinois at Chicago"," Proin molestie fringilla ligula"
"Yue Xu",1958,"yue_xu@mail.com","Politecnico di Torino"," Nunc semper, est vitae pulvinar lobortis, mi elit bibendum mauris, quis aliquam leo est ut tellus"
"Susanta Mitra",1960,"susanta_mitra@mail.com","Politecnico di Torino"," Integer vel elit in augue imperdiet pellentesque non eu ex"
"Aditya Bagchi",2000,"aditya_bagchi@mail.com","ETH Zurich","  Praesent a lorem dolor"
"Nathalie Henry Riche",1957,"nathalie_henry_riche@mail.com","Politecnico di Torino"," Suspendisse pharetra, orci eu feugiat consequat, magna diam finibus velit, a eleifend quam libero vel purus"
"Jean-Daniel Fekete",1999,"jean-daniel_fekete@mail.com","The University of Edinburgh"," Nullam scelerisque, libero at imperdiet rhoncus, ligula neque suscipit urna, nec bibendum nisl sem sed quam"
"Katerina Slaninová",1998,"katerina_slaninová@mail.com","Politecnico di Milano"," Morbi aliquet a erat et facilisis"
"Jan Martinovic",1954,"jan_martinovic@mail.com","The University of Edinburgh"," "
"Pavla Drázdilová",1986,"pavla_drázdilová@mail.com","Politecnico di Milano"," Quisque faucibus enim ut mauris vehicula, ut elementum nisl efficitur"
"Gamila Obadi",1966,"gamila_obadi@mail.com","The University of Edinburgh"," Praesent non maximus tellus, eu auctor sem"
"Václav Snásel",1973,"václav_snásel@mail.com","ETH Zurich"," Donec in tincidunt nulla, at dignissim tellus"
"Abraham Bagherjeiran",1971,"abraham_bagherjeiran@mail.com","MIT"," Phasellus at pulvinar nisi"
"Rushi Bhatt",1973,"rushi_bhatt@mail.com","University of Illinois at Chicago"," Curabitur eget est et odio scelerisque euismod"
"Rajesh Parekh",1988,"rajesh_parekh@mail.com","Politecnico di Milano"," Morbi consectetur, diam eget lobortis congue, nulla est ultrices odio, nec tempor quam ex varius nunc"
"Vineet Chaoji",1954,"vineet_chaoji@mail.com","Technical University of Munich"," Donec sit amet diam neque"
"Nina D. Ziv",1984,"nina_d._ziv@mail.com","ETH Zurich"," Vivamus ut maximus turpis"
"Kerry-Ann White",1956,"kerry-ann_white@mail.com","MIT"," Vestibulum non diam porta, faucibus libero quis, ultricies ipsum"
"Lester Melendez",1993,"lester_melendez@mail.com","University of Illinois at Chicago"," Cras blandit risus in tempor aliquet"
"Ouri Wolfson",1955,"ouri_wolfson@mail.com","ETH Zurich"," Proin ultrices mauris ut blandit interdum"
"Malek Adjouadi",1957,"malek_adjouadi@mail.com","ETH Zurich","  Fusce pulvinar risus tempor lorem rhoncus suscipit"
"Naphtali Rishe",1955,"naphtali_rishe@mail.com","Politecnico di Torino"," Cras venenatis eu odio feugiat dapibus"
"Tsuyoshi Murata",1991,"tsuyoshi_murata@mail.com","ETH Zurich"," Morbi nec vestibulum orci"
"Bo Yang 0002",1963,"bo_yang_0002@mail.com","University of Illinois at Chicago"," Proin nec bibendum velit, imperdiet rhoncus orci"
"Dayou Liu",1977,"dayou_liu@mail.com","University of Illinois at Chicago","  Praesent vel laoreet dui"
"Jiming Liu 0001",1971,"jiming_liu_0001@mail.com","MIT"," Morbi eget odio consectetur, scelerisque mi nec, sodales lorem"
"Marcel Karnstedt",1990,"marcel_karnstedt@mail.com","MIT"," Phasellus at dolor nec enim blandit tristique vel ullamcorper nisi"
"Tara Hennessy",1985,"tara_hennessy@mail.com","Technical University of Munich"," Mauris sed quam condimentum, semper orci non, mollis sapien"
"Jeffrey Chan",1965,"jeffrey_chan@mail.com","University of Illinois at Chicago"," Curabitur vitae purus velit"
"Partha Basuchowdhuri",1997,"partha_basuchowdhuri@mail.com","ETH Zurich"," Proin tristique, nibh nec iaculis egestas, est sem facilisis purus, sed faucibus lorem eros at lectus"
"Conor Hayes",1951,"conor_hayes@mail.com","ETH Zurich"," Vestibulum non porttitor nulla, ac tristique elit"
"Keiji Yanai",1988,"keiji_yanai@mail.com","Politecnico di Milano"," Aliquam ut lorem sollicitudin, consectetur mauris a, elementum libero"
"Bingyu Qiu",1997,"bingyu_qiu@mail.com","The University of Edinburgh"," Proin gravida orci mi, nec ullamcorper elit lobortis sit amet"
"Dil Muhammad Akbar Hussain",1967,"dil_muhammad_akbar_hussain@mail.com","Politecnico di Torino"," Fusce interdum mi ut tortor ultricies consectetur"
"Antonio Hernando",1978,"antonio_hernando@mail.com","University of Illinois at Chicago"," In in ante non neque vehicula suscipit id nec mauris"
"Jesús Bobadilla",1977,"jesús_bobadilla@mail.com","MIT"," Morbi at orci aliquet, lacinia erat in, finibus lectus"
"Francisco Serradilla",1959,"francisco_serradilla@mail.com","University of Illinois at Chicago"," Praesent eu tristique enim"
"Gerhard Austaller",1972,"gerhard_austaller@mail.com","University of Illinois at Chicago"," Cras ut massa metus"
"Fernando Lyardet",1982,"fernando_lyardet@mail.com","ETH Zurich"," Ut dictum dolor in orci faucibus mollis"
"Dirk Schnelle",1988,"dirk_schnelle@mail.com","University of Illinois at Chicago"," Phasellus vitae odio nec leo consequat accumsan"
"Rainer Malaka",1973,"rainer_malaka@mail.com","Politecnico di Torino"," Mauris blandit ac neque ut gravida"
"Erwin Aitenbichler",1959,"erwin_aitenbichler@mail.com","MIT"," Aliquam viverra aliquet dignissim"
"Sebastian Ries",1953,"sebastian_ries@mail.com","Politecnico di Milano"," Morbi luctus egestas magna at pretium"
"Tobias Straub",1959,"tobias_straub@mail.com","MIT"," Cras at nunc finibus, pretium tellus non, dapibus metus"
"Andreas Heinemann",1986,"andreas_heinemann@mail.com","University of Illinois at Chicago"," Sed massa nisl, congue a molestie quis, efficitur sit amet mi"
"Andreas Hartl",1993,"andreas_hartl@mail.com","University of Illinois at Chicago"," Mauris quis diam nisl"
"Michael Weber 0001",1973,"michael_weber_0001@mail.com","Politecnico di Milano"," Pellentesque at purus sagittis, sodales enim nec, luctus ipsum"
"Marc Hermann",1985,"marc_hermann@mail.com","Politecnico di Torino"," Cras pretium molestie est, eget elementum leo sollicitudin ut"
